Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Champion of the Parish",1,"Creature - Human Soldier",W,"isd","6",rare,w,Not Owned,Non-foil,false,,,"humans, blink, counters, wide, tribal_payoff, soldiers, u2.0, u3.9, core","",42828,
"Ghost-Lit Redeemer",1,"Creature - Spirit",W,"sok","10",uncommon,w,Owned,Non-foil,false,,,"occasional","",21984,
"Giant Killer",1,"Creature - Human Peasant ",W,"eld","14",rare,w,Not Owned,Non-foil,false,,,"tappers, humans, spells, u4.8, removal, core","",78118,
"Healer's Hawk",1,"Creature - Bird",W,"grn","14",common,w,Not Owned,Non-foil,false,,,"fliers, lifegain, heroic, wide, evasion, aggrocontrol, u4.6.4, core","",69401,
"Soul Warden",1,"Creature - Human Cleric",W,"mm3","24",common,w,Owned,Non-foil,false,,,"occasional","",63039,
"Thraben Inspector",1,"Creature - Human Soldier",W,"soi","44",common,w,Not Owned,Non-foil,false,,,"humans, artifacts, flash, stax, blink, sacrifice, tokens, manasink, wide, soldiers, aggrocontrol, u2.87, smoothing, core","",60240,
"Toolcraft Exemplar",1,"Creature - Dwarf Artificer",W,"kld","32",rare,w,Not Owned,Non-foil,false,,,"artifacts, artifacts_payoff, u2.96, u4.7, core","",61879,
"Accorder Paladin",2,"Creature - Human Knight",W,"mbs","1",uncommon,w,Not Owned,Non-foil,false,,,"humans, tokens, wide, aggrocontrol, u2.0, core","",39297,
"Glory-Bound Initiate",2,"Creature - Human Warrior",W,"akh","16",rare,w,Not Owned,Non-foil,false,,,"humans, lifegain, aggrocontrol, u3.0, core","",63634,
"Grateful Apparition",2,"Creature - Spirit",W,"war","17",uncommon,w,Not Owned,Non-foil,false,,,"fliers, counters_payoff, counters, u4.9, core","",71640,
"Hidden Dragonslayer",2,"Creature - Human Warrior",W,"dtk","23",rare,w,Owned,Non-foil,false,,,"occasional","",55944,
"Knight of Meadowgrain",2,"Creature - Kithkin Knight",W,"ddg","5",uncommon,w,Owned,Non-foil,false,,,"u4.9.3, lifegain, wide, core","",40122,
"Kor Skyfisher",2,"Creature - Kor Soldier",W,"mm3","11",common,w,Owned,Non-foil,false,,,"core, blink, fliers, wide","",63193,
"Lone Rider",2,"Creature - Human Knight",W,"emn","33",uncommon,w,Owned,Non-foil,false,,,"lifegain, lifegain_payoff, heroic, humans, aggrocontrol, core","",61086,
"Master of Pearls",2,"Creature - Human Monk",W,"ktk","18",rare,w,Owned,Non-foil,false,,,"occasional","",54284,
"Porcelain Legionnaire",2,"Artifact Creature - Soldier",W,"nph","19",common,w,Not Owned,Non-foil,false,,,"artifacts, soldiers, aggrocontrol, u2.0, core","",39834,
"Relic Seeker",2,"Creature - Human Soldier",W,"ori","29",rare,w,Not Owned,Non-foil,false,,,"humans, artifacts, counters, tappers, soldiers, aggrocontrol, u2.0, u3.8, core","",58158,
"Selfless Spirit",2,"Creature - Spirit Cleric",W,"emn","40",rare,w,Not Owned,Non-foil,false,,,"fliers, enrage, evasion, aggrocontrol, u2.98, core","",61102,
"Soulfire Grand Master",2,"Creature - Human Monk",W,"frf","27",mythic,m,Owned,Non-foil,false,,,"occasional","",55614,
"Squall Drifter",2,"Snow Creature - Elemental",W,"csp","17",common,w,Not Owned,Non-foil,false,,,"fliers, tappers, evasion, u4.4, core","",24767,
"Thalia, Guardian of Thraben",2,"Legendary Creature - Human Soldier",W,"sld","37",rare,w,Owned,Non-foil,false,,,"occasional","",,
"Topan Freeblade",2,"Creature - Human Soldier",W,"ori","36",common,w,Not Owned,Non-foil,false,,,"humans, counters, tappers, soldiers, aggrocontrol, u2.0, core","",57836,
"Abzan Falconer",3,"Creature - Human Soldier",W,"cm2","15",uncommon,w,Owned,Non-foil,false,,,"occasional","",,
"Angel of Vitality",3,"Creature - Angel",W,"m20","4",uncommon,w,Owned,Non-foil,false,,,"occasional","",72907,
"Ardenvale Tactician",3,"Creature - Human Knight",W,"eld","5",common,w,Owned,Non-foil,false,,,"u4.9.3, humans, fliers, spells, heroic, tappers, aggrocontrol, manasink, core","",78096,
"Attended Knight",3,"Creature - Human Knight",W,"m13","5",common,w,Not Owned,Non-foil,false,,,"humans, blink, tokens, sacrifice, wide, stax, soldiers, u2.80, core","",45492,
"Aven Sunstriker",3,"Creature - Bird Warrior",W,"dtk","5",uncommon,w,Owned,Non-foil,false,,,"occasional","",56008,
"Benalish Marshal",3,"Creature - Human Knight",W,"gnt","8",rare,w,Owned,Non-foil,false,,,"occasional","",,
"Bygone Bishop",3,"Creature - Spirit Cleric",W,"soi","8",rare,w,Owned,Non-foil,false,,,"u4.9.3, u2.77, fliers, artifacts, aggrocontrol, manasink, core","",60212,
"Fabled Hero",3,"Creature - Human Soldier",W,"ths","12",rare,w,Not Owned,Non-foil,false,,,"humans, heroic, soldiers, aggrocontrol, u2.0, u3.8, core","",50430,
"Flickerwisp",3,"Creature - Elemental",W,"mma","16",uncommon,w,Not Owned,Non-foil,false,,,"fliers, blink, evasion, aggrocontrol, u2.0, core","",48776,
"Gideon's Avenger",3,"Creature - Human Soldier",W,"m12","17",rare,w,Not Owned,Non-foil,false,,,"humans, tappers, counters, tappers_payoff, soldiers, u4.4, core","",41433,
"Mangara of Corondor",3,"Legendary Creature - Human Wizard",W,"bbd","98",rare,w,Owned,Non-foil,false,,,"occasional","",,
"Mentor of the Meek",3,"Creature - Human Soldier",W,"m19","27",rare,w,Owned,Non-foil,false,,,"occasional","",68215,
"Misthoof Kirin",3,"Creature - Kirin",W,"dtk","25",common,w,Owned,Non-foil,false,,,"occasional","",56390,
"Soltari Crusader",3,"Creature - Soltari Knight",W,"tmp","41",uncommon,w,Owned,Non-foil,false,,,"occasional","",10123,
"Territorial Hammerskull",3,"Creature - Dinosaur",W,"xln","41",common,w,Not Owned,Non-foil,false,,,"dinosaurs, tappers, aggrocontrol, u3.3, core","",65094,
"Twilight Drover",3,"Creature - Spirit",W,"ddk","9",rare,w,Owned,Non-foil,false,,,"occasional","",48171,
"Abzan Battle Priest",4,"Creature - Human Cleric",W,"ima","2",uncommon,w,Owned,Non-foil,false,,,"occasional","",65883,
"Brigid, Hero of Kinsbaile",4,"Legendary Creature - Kithkin Archer",W,"lrw","6",rare,w,Owned,Non-foil,false,,,"occasional","",28507,
"Daghatar the Adamant",4,"Legendary Creature - Human Warrior",W,"frf","9",rare,m,Owned,Non-foil,false,,,"occasional","",55316,
"Dawnbringer Charioteers",4,"Creature - Human Soldier",W,"jou","6",rare,w,Not Owned,Non-foil,false,,,"humans, fliers, heroic, lifegain, evasion, soldiers, u4.2, core","",52180,
"Emeria Angel",4,"Creature - Angel",W,"ima","20",rare,w,Owned,Non-foil,false,,,"u2.0, u4.9.3, fliers, tokens, ramp, wide, core","",65919,
"Galepowder Mage",4,"Creature - Kithkin Wizard",W,"ddi","12",rare,w,Owned,Non-foil,false,,,"occasional","",43664,
"Guardian of the Guildpact",4,"Creature - Spirit",W,"dis","10",common,w,Owned,Non-foil,false,,,"occasional","",24303,
"High Sentinels of Arashin",4,"Creature - Bird Soldier",W,"ktk","13",rare,w,Owned,Non-foil,false,,,"occasional","",54286,
"Hundred-Handed One",4,"Creature - Giant",W,"ths","20",rare,w,Not Owned,Non-foil,false,,,"counters, manasink, ramp, enrage, u2.63, u2.77, core","",50372,
"Liege of the Axe",4,"Creature - Human Soldier",W,"lgn","16",uncommon,w,Owned,Non-foil,false,,,"occasional","",18375,
"Magus of the Disk",4,"Creature - Human Wizard",W,"c20","94",rare,w,Owned,Non-foil,false,,,"core, humans, wizards, wrath, artifact_removal, enchantment_removal, control","",,
"Master Splicer",4,"Creature - Human Artificer",W,"nph","16",uncommon,w,Not Owned,Non-foil,false,,,"artifacts, humans, golems, blink, sacrifice, tokens, wide, stax, u2.99, core","",39984,
"Meadowboon",4,"Creature - Elemental",W,"mor","17",uncommon,w,Owned,Non-foil,false,,,"occasional","",29240,
"Odric, Lunarch Marshal",4,"Legendary Creature - Human Soldier",W,"c20","95",rare,w,Owned,Non-foil,false,,,"occasional","",,
"Archon of Justice",5,"Creature - Archon",W,"m12","6",rare,w,Owned,Non-foil,false,,,"occasional","",41161,
"Belfry Spirit",5,"Creature - Spirit",W,"gk2","29",uncommon,w,Owned,Non-foil,false,,,"occasional","",,
"Cataclysmic Gearhulk",5,"Artifact Creature - Construct",W,"c20","80",mythic,w,Owned,Non-foil,false,,,"core, artifacts, control, ramp, blink, wrath","",,
