Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Arcbound Javelineer",1,"Artifact Creature - Soldier",W,"mh2","2",uncommon,w,Owned,Non-foil,false,,,"core;aggro;artifacts;counters;removal;blink","",90373
"Battlefield Raptor",1,"Creature - Bird",W,"khm","3",common,w,Owned,Non-foil,false,,,"occasional","",87325
"Champion of the Parish",1,"Creature - Human Soldier",W,"isd","6",rare,w,Not Owned,Non-foil,false,,,"humans;blink;counters;wide;tribal_payoff;soldiers;u2.0;u3.9;occasional","",42828
"Dauntless Bodyguard",1,"Creature - Human Knight",W,"dom","14",uncommon,w,Owned,Non-foil,false,,,"core;aggrocontrol;humans;wide;aggro","",67493
"Doomed Traveler",1,"Creature - Human Soldier",W,"isd","11",common,w,Owned,Non-foil,false,,,"core;sacrifice;tokens;fliers;wide;aggro;control;heroic","",42650
"Ghost-Lit Redeemer",1,"Creature - Spirit",W,"sok","10",uncommon,w,Owned,Non-foil,false,,,"occasional","",21984
"Giant Killer",1,"Creature - Human Peasant ",W,"eld","14",rare,w,Not Owned,Non-foil,false,,,"tappers;humans;spells;u4.8;removal;core;manasink;aggro;control","",78118
"Healer's Hawk",1,"Creature - Bird",W,"grn","14",common,w,Not Owned,Non-foil,false,,,"fliers;lifegain;heroic;wide;evasion;aggrocontrol;u4.6.4;core;aggro;control","",69401
"Soul Warden",1,"Creature - Human Cleric",W,"mm3","24",common,w,Owned,Non-foil,false,,,"occasional","",63039
"Thraben Inspector",1,"Creature - Human Soldier",W,"soi","44",common,w,Not Owned,Non-foil,false,,,"humans;artifacts;flash;stax;blink;sacrifice;tokens;manasink;wide;soldiers;aggrocontrol;u2.87;smoothing;core;aggro;control","",60240
"Toolcraft Exemplar",1,"Creature - Dwarf Artificer",W,"kld","32",rare,w,Not Owned,Non-foil,false,,,"artifacts;artifacts_payoff;u2.96;u4.7;occasional","",61879
"Usher of the Fallen",1,"Creature - Spirit Warrior",W,"khm","35",uncommon,w,Owned,Non-foil,false,,,"core;tokens;manasink;wide;aggro","",87393
"Accorder Paladin",2,"Creature - Human Knight",W,"mbs","1",uncommon,w,Not Owned,Non-foil,false,,,"humans;tokens;wide;aggrocontrol;u2.0;core;aggro","",39297
"Grateful Apparition",2,"Creature - Spirit",W,"war","17",uncommon,w,Not Owned,Non-foil,false,,,"fliers;counters_payoff;counters;u4.9;core;aggro","",71640
"Kor Skyfisher",2,"Creature - Kor Soldier",W,"zen","23",common,w,Owned,Non-foil,false,,,"core;blink;fliers;wide;aggro","",34444
"Leonin Lightscribe",2,"Creature - Cat Cleric",W,"stx","20",rare,w,Owned,Non-foil,false,,,"core;spells;wide;tokens;aggro","",88517
"Relic Seeker",2,"Creature - Human Soldier",W,"ori","29",rare,w,Not Owned,Non-foil,false,,,"humans;artifacts;counters;tappers;soldiers;aggrocontrol;u2.0;u3.8;core;aggro","",58158
"Seasoned Hallowblade",2,"Creature - Human Warrior",W,"m21","34",uncommon,w,Owned,Non-foil,false,,,"graveyard;humans;aggrocontrol;reanimator;aggro;occasional","",81295
"Seeker of the Way",2,"Creature - Human Warrior",W,"ktk","22",uncommon,w,Owned,Non-foil,false,,,"core;spells;lifegain;humans;aggrocontrol;aggro;control","",54270
"Serene Steward",2,"Creature - Human Cleric Ally",W,"bfz","46",uncommon,w,Owned,Non-foil,false,,,"core;lifegain;lifegain_payoff;humans;aggro;control","",58649
"Shepherd of the Flock",2,"Creature - Human Peasant",W,"eld","28",uncommon,w,Owned,Non-foil,false,,,"core;blink;spells;flash;humans;aggro;aggrocontrol","",78152
"Soulfire Grand Master",2,"Creature - Human Monk",W,"frf","27",mythic,White,Owned,Non-foil,false,,,"core;lifegain;spells;burn;humans;aggro;control;aggrocontrol","",55614
"Stone Haven Pilgrim",2,"Creature - Kor Cleric",W,"jmp","6",uncommon,w,Owned,Non-foil,false,,,"core;artifacts;lifegain;aggro;control","",81759
"Thalia, Guardian of Thraben",2,"Legendary Creature - Human Soldier",W,"dka","24",rare,w,Owned,Non-foil,false,,,"occasional","",43469
"Thalia's Lieutenant",2,"Creature - Human Soldier",W,"soi","43",rare,w,Owned,Non-foil,false,,,"core;humans;counters;aggro;tribal_payoff","",59788
"Abzan Falconer",3,"Creature - Human Soldier",W,"cm2","15",uncommon,w,Owned,Non-foil,false,,,"occasional","",
"Attended Knight",3,"Creature - Human Knight",W,"m13","5",common,w,Not Owned,Non-foil,false,,,"humans;blink;tokens;sacrifice;wide;stax;soldiers;u2.80;core;aggro;control","",45492
"Benalish Marshal",3,"Creature - Human Knight",W,"gnt","8",rare,w,Owned,Non-foil,false,,,"occasional","",
"Bygone Bishop",3,"Creature - Spirit Cleric",W,"soi","8",rare,w,Owned,Non-foil,false,,,"u4.9.3;u2.77;fliers;artifacts;aggrocontrol;manasink;core;aggro","",60212
"Elite Spellbinder",3,"Creature - Human Cleric",W,"stx","17",rare,w,Owned,Non-foil,false,,,"core;aggrocontrol;fliers;humans;aggro","",88511
