Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Healer's Hawk",1,"Creature - Bird",W,"grn","14",common,w,Owned,Non-foil,false,,,"","",69401
"Topplegeist",1,"Creature - Spirit",W,"ddq","21",uncommon,w,Owned,Non-foil,false,,,"","",
"Imposing Sovereign",2,"Creature - Human Noble",W,"m14","22",rare,w,Owned,Non-foil,false,,,"","",49575
"Niblis of the Urn",2,"Creature - Spirit",W,"dka","16",uncommon,w,Owned,Non-foil,false,,,"","",43241
"Soulcatcher",2,"Creature - Bird Soldier",W,"ody","47",uncommon,w,Owned,Non-foil,false,,,"","",17031
"Elite Spellbinder",3,"Creature - Human Cleric",W,"stx","17",rare,w,Owned,Non-foil,false,,,"","",88511
"Kangee's Lieutenant",3,"Creature - Bird Soldier",W,"cmr","26",uncommon,w,Owned,Non-foil,false,,,"","",84834
"Falconer Adept",4,"Creature - Human Soldier",W,"m21","18",uncommon,w,Owned,Non-foil,false,,,"","",81263
"Stalwart Valkyrie",4,"Creature - Angel Warrior",W,"khm","31",common,w,Owned,Non-foil,false,,,"","",87385
"Alley Evasion",1,"Instant",W,"aer","6",common,w,Owned,Non-foil,false,,,"","",62581
"Light of Hope",1,"Instant",W,"iko","20",common,w,Owned,Non-foil,false,,,"","",80049
"Rally of Wings",2,"Instant",W,"war","27",uncommon,w,Owned,Non-foil,false,,,"","",71660
"Not Forgotten",2,"Sorcery",W,"soi","30",uncommon,w,Owned,Non-foil,false,,,"","",59854
"Piercing Rays",2,"Sorcery",W,"mh2","24",common,w,Owned,Non-foil,false,,,"","",90417
"Words of Worship",3,"Enchantment",W,"ons","61",rare,w,Owned,Non-foil,false,,,"","",17773
"Siren Stormtamer",1,"Creature - Siren Pirate Wizard",U,"xln","79",uncommon,u,Owned,Non-foil,false,,,"","",65172
"Metropolis Sprite",2,"Creature - Faerie Rogue",U,"gtc","42",common,u,Owned,Non-foil,false,,,"","",47835
"Shacklegeist",2,"Creature - Spirit",U,"m21","70",rare,u,Owned,Non-foil,false,,,"","",81367
"Aviation Pioneer",3,"Creature - Human Artificer",U,"m19","46",common,u,Owned,Non-foil,false,,,"","",68253
"Sprite Noble",3,"Creature - Faerie Noble",U,"tsp","81",rare,u,Owned,Non-foil,false,,,"","",25727
"Warden of Evos Isle",3,"Creature - Bird Wizard",U,"m14","79",uncommon,u,Owned,Non-foil,false,,,"","",49485
"Augury Raven",4,"Creature - Bird",U,"khm","44",common,u,Owned,Non-foil,false,,,"","",87413
"Moonblade Shinobi",4,"Creature - Human Ninja",U,"mh1","59",common,u,Owned,Non-foil,false,,,"","",72490
"Siani, Eye of the Storm",4,"Legendary Creature - Djinn Monk",U,"cmr","95",uncommon,u,Owned,Non-foil,false,,,"","",84972
