word,frequency
long,839
as,2528
is,1692
untapped,252
players,136
can't,1978
untap,892
more,833
than,450
two,1386
permanents,342
during,566
their,1120
steps,69
creature,12686
gets,2445
be,1843
blocked,1203
except,363
by,955
creatures,2632
with,3364
flying,997
or,4262
reach,123
loses,485
your,7301
choice,229
of,9737
first,474
strike,598
trample,391
until,3197
end,3755
turn,5086
all,1149
multicolored,40
deals,2380
damage,3587
to,7073
any,1942
target,5829
equal,776
the,11514
highest,32
converted,531
mana,1696
cost,1866
among,385
you,10014
control,4777
ability,687
costs,281
less,593
activate,120
for,2489
each,2630
instant,391
and,4034
sorcery,617
card,6120
in,1441
graveyard,1999
this,5663
has,1240
no,377
counters,1214
on,3392
it,5440
put,2398
four,329
an,2490
opponent,1291
may,3343
draw,840
a,11512
tokens,312
artifacts,189
artifact,1245
one,1150
color,719
three,722
enters,3118
battlefield,4603
up,812
seven,183
lands,343
its,2501
owner's,821
hand,2309
from,3021
top,1037
library,2367
only,871
before,153
attackers,55
are,576
declared,51
if,1483
cast,2830
blue,306
black,576
spell,2637
countered,98
gain,1266
hexproof,95
they,343
targets,253
spells,516
abilities,439
opponents,291
exile,829
opponent's,155
horsemanship,41
that's,157
attached,145
permanent,983
another,691
can,608
enchant,58
attacks,675
isn't,156
combat,1036
defending,345
player,3099
controls,793
that,3987
dies,620
way,431
create,599
token,929
power,881
creature's,361
toughness,376
reveal,493
into,1151
shuffle,498
counter,2166
get,796
pay,973
additional,475
was,337
kicked,166
discard,384
do,757
dealt,733
leaves,179
basic,199
land,1341
type,351
tapped,606
becomes,821
base,77
lifelink,177
five,144
onto,533
then,1023
deal,281
excess,51
planeswalker,422
it's,557
attacking,440
sacrifice,816
addition,132
other,669
also,95
return,672
enchantment,406
reveals,196
discards,369
cards,2418
sacrificed,106
colors,70
have,832
where,392
number,1018
cycle,57
charge,177
beginning,1634
precombat,11
main,39
phase,74
remove,252
removed,99
attacked,81
under,723
at,901
next,822
step,857
discarded,34
lose,286
life,2030
legendary,121
gains,1082
fear,38
and/or,240
look,137
them,491
rest,283
bottom,313
order,235
source,135
would,762
noncombat,12
many,143
instead,493
controlled,48
left,21
green,488
greater,220
search,189
named,169
paid,136
either,77
destroy,488
fights,50
enchanted,484
intimidate,16
share,65
choose,543
controller,573
adds,27
chosen,272
don't,304
nonblack,66
vigilance,236
times,36
unless,644
pays,228
time,724
face,512
down,254
upkeep,1328
own,105
exiled,232
haste,517
still,109
you've,56
gained,16
block,578
red,391
indestructible,137
plus,94
divided,49
enchantments,58
destroyed,64
nontoken,105
copy,322
symbol,26
turn's,65
exiles,81
putting,29
whenever,23
blocks,254
scry,91
white,535
alone,56
effect,99
creates,64
twice,51
those,284
puts,110
intervention,3
last,133
game,198
able,198
much,186
menace,77
nonland,258
name,276
flashback,95
without,395
paying,237
bestow,29
again,36
not,156
renowned,42
s,184
noncreature,161
random,186
owner,28
colorless,282
friend,10
foe,10
searches,7
shuffles,118
sacrifices,223
protection,163
equipped,102
taps,22
produced,14
add,124
could,227
spell's,146
draws,138
amass,12
most,53
common,20
tied,46
casts,157
copies,35
enter,84
attack,507
died,47
blocking,306
being,88
minus,23
verse,22
owners,85
hands,76
age,185
prevent,124
spent,107
both,118
six,48
types,172
snow,93
move,20
remains,67
manifest,12
shroud,75
permanent's,21
does,57
new,99
postcombat,2
there's,3
followed,4
resolves,66
madness,35
entered,18
returns,51
defender,96
same,153
tap,345
form,128
poison,82
evoke,13
when,54
escape,24
overload,14
change,37
text,29
replacing,26
instances,29
win,95
clashing,25
wins,28
had,141
higher,26
double,93
least,102
starting,33
total,158
rather,107
chooses,85
sources,29
regenerates,5
single,29
persist,4
while,88
casting,71
emerge,11
team,12
mill,57
milled,13
nonblue,3
regenerated,126
revealed,139
itself,16
flip,122
coin,67
whose,12
comes,30
tails,5
kicker,22
doesn't,307
controller's,163
there,167
mills,155
council,9
votes,36
grace,2
condemnation,2
vote,21
flanking,42
storage,37
example,12
colored,10
symbols,12
hasn't,7
been,41
die,43
forestwalk,26
devotion,93
unblocked,22
attacker,7
deathtouch,123
amount,113
enough,60
represents,39
suspended,17
player's,293
energy,71
exert,26
exerted,25
won't,31
landcycling,4
who,57
didn't,76
once,83
tribute,11
wasn't,19
megamorph,26
though,158
word,11
lasts,50
indefinitely,49
controllers,31
causes,95
third,22
resolved,4
attach,58
some,1
turned,64
assign,15
become,68
assigns,35
twenty,10
fewer,30
declare,27
discarding,23
kind,38
were,46
noted,12
owns,17
silver,2
combination,18
fuse,12
dash,17
returned,27
but,26
planeswalker's,15
loyalty,36
activates,9
unspent,12
lost,46
ten,59
city's,46
blessing,46
cycles,6
play,127
different,32
names,19
exactly,20
back,50
islandwalk,20
spore,37
help,58
entwine,24
agenda,15
conspiracy,40
command,28
zone,28
secretly,15
shadow,77
party,62
consists,27
monstrous,64
leave,25
graveyards,77
anywhere,49
remain,31
unchanged,6
lesser,20
commander's,2
identity,2
mutate,63
over,32
mutates,29
mastery,15
nonbasic,39
equip,6
so,26
shares,48
come,7
played,9
odd,6
even,15
value,7
support,5
skips,14
rebound,2
came,49
since,55
echo,51
morph,133
